geoid,by,pollutant,adjr,sigma,df.residual,formula
d05009,16,98,0.9939594763096673,1488.2026541814362,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05011,16,98,0.9937058850548136,432.83292639242825,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05013,16,98,0.9756253322648634,962.9239030491067,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05015,16,98,0.9747837545204061,2282.0579706827225,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05017,16,98,0.9759666205757968,1371.9626623900892,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05019,16,98,0.9937969520956145,2009.5337326400306,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05021,16,98,0.9753126815143617,1286.3388148882416,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05023,16,98,0.9934503572347246,1001.5167949306991,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05025,16,98,0.9744987867062893,973.1676523167685,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05027,16,98,0.9937398700105038,866.9620098986134,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05029,16,98,0.9937197412551335,1944.5104247160823,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05031,16,98,0.9964430507889731,2694.8709965626235,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d05033,16,98,0.9947084757946778,2720.249751309518,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
